Samples	ID83A
TCGA_38_4625_01A	0.00E+00
TCGA_38_4626_01A	0.00E+00
TCGA_38_4627_01A	0.00E+00
TCGA_38_4631_01A	0.00E+00
TCGA_38_7271_01A	0.00E+00
TCGA_44_2655_01A	0.00E+00
TCGA_44_2657_01A	0.00E+00
TCGA_44_2659_01A	0.00E+00
TCGA_44_3396_01A	0.00E+00
TCGA_44_3917_01A	0.00E+00
TCGA_44_3918_01A	0.00E+00
TCGA_44_4112_01A	0.00E+00
TCGA_44_5644_01A	0.00E+00
TCGA_44_6145_01A	0.00E+00
TCGA_44_6147_01A	0.00E+00
TCGA_44_6774_01A	0.00E+00
TCGA_44_6775_01A	0.00E+00
TCGA_44_6776_01A	0.00E+00
TCGA_44_6779_01A	0.00E+00
TCGA_44_7661_01A	0.00E+00
TCGA_44_7667_01A	0.00E+00
TCGA_44_7670_01A	0.00E+00
TCGA_44_7672_01A	0.00E+00
TCGA_44_8117_01A	0.00E+00
TCGA_44_A47G_01A	0.00E+00
TCGA_44_A4SU_01A	0.00E+00
TCGA_49_4487_01A	0.00E+00
TCGA_49_4488_01A	0.00E+00
TCGA_49_4490_01A	0.00E+00
TCGA_49_4505_01A	0.00E+00
TCGA_49_4506_01A	0.00E+00
TCGA_49_4507_01A	0.00E+00
TCGA_49_6744_01A	0.00E+00
TCGA_49_6761_01A	0.00E+00
TCGA_49_6767_01A	0.00E+00
TCGA_50_5051_01A	0.00E+00
TCGA_50_5941_01A	0.00E+00
TCGA_50_5942_01A	0.00E+00
TCGA_50_6590_01A	0.00E+00
TCGA_50_6592_01A	0.00E+00
TCGA_50_6593_01A	0.00E+00
TCGA_50_6595_01A	0.00E+00
TCGA_53_7624_01A	0.00E+00
TCGA_53_7813_01A	0.00E+00
TCGA_55_6543_01A	0.00E+00
TCGA_55_6970_01A	0.00E+00
TCGA_55_6971_01A	0.00E+00
TCGA_55_6979_01A	0.00E+00
TCGA_55_6981_01A	0.00E+00
TCGA_55_6985_01A	0.00E+00
TCGA_55_7281_01A	0.00E+00
TCGA_55_7573_01A	0.00E+00
TCGA_55_7574_01A	0.00E+00
TCGA_55_7725_01A	0.00E+00
TCGA_55_7726_01A	0.00E+00
TCGA_55_7728_01A	0.00E+00
TCGA_55_7911_01A	0.00E+00
TCGA_55_7914_01A	0.00E+00
TCGA_55_7995_01A	0.00E+00
TCGA_55_8096_01A	0.00E+00
TCGA_55_8097_01A	0.00E+00
TCGA_55_8203_01A	0.00E+00
TCGA_55_8208_01A	0.00E+00
TCGA_55_8299_01A	0.00E+00
TCGA_55_8506_01A	0.00E+00
TCGA_55_8510_01A	0.00E+00
TCGA_55_8511_01A	0.00E+00
TCGA_55_8616_01A	0.00E+00
TCGA_55_A48X_01A	0.00E+00
TCGA_55_A48Z_01A	0.00E+00
TCGA_55_A492_01A	0.00E+00
TCGA_55_A493_01A	0.00E+00
TCGA_55_A494_01A	0.00E+00
TCGA_62_A46O_01A	0.00E+00
TCGA_62_A46R_01A	0.00E+00
TCGA_64_1679_01A	0.00E+00
TCGA_64_1681_01A	0.00E+00
TCGA_64_5781_01A	0.00E+00
TCGA_67_3770_01A	0.00E+00
TCGA_67_3774_01A	0.00E+00
TCGA_67_6217_01A	0.00E+00
TCGA_69_7973_01A	0.00E+00
TCGA_69_7974_01A	0.00E+00
TCGA_69_7979_01A	0.00E+00
TCGA_69_7980_01A	0.00E+00
TCGA_73_4662_01A	0.00E+00
TCGA_73_4666_01A	0.00E+00
TCGA_73_4670_01A	0.00E+00
TCGA_73_7498_01A	0.00E+00
TCGA_78_7145_01A	0.00E+00
TCGA_78_7146_01A	0.00E+00
TCGA_78_7147_01A	0.00E+00
TCGA_78_7153_01A	0.00E+00
TCGA_78_7158_01A	0.00E+00
TCGA_78_7159_01A	0.00E+00
TCGA_78_7161_01A	0.00E+00
TCGA_78_7220_01A	0.00E+00
TCGA_83_5908_01A	0.00E+00
TCGA_86_6851_01A	0.00E+00
TCGA_86_7954_01A	0.00E+00
TCGA_86_8056_01A	0.00E+00
TCGA_86_8074_01A	0.00E+00
TCGA_91_6830_01A	0.00E+00
TCGA_91_6836_01A	0.00E+00
TCGA_91_6840_01A	0.00E+00
TCGA_91_6847_01A	0.00E+00
TCGA_95_7039_01A	0.00E+00
TCGA_95_7043_01A	0.00E+00
TCGA_95_7948_01A	0.00E+00
TCGA_95_A4VK_01A	0.00E+00
TCGA_95_A4VN_01A	0.00E+00
TCGA_95_A4VP_01A	0.00E+00
TCGA_97_7547_01A	0.00E+00
TCGA_97_7553_01A	0.00E+00
TCGA_97_7941_01A	0.00E+00
TCGA_97_8175_01A	0.00E+00
TCGA_97_A4M0_01A	0.00E+00
TCGA_97_A4M1_01A	0.00E+00
TCGA_97_A4M3_01A	0.00E+00
TCGA_99_7458_01A	0.00E+00
TCGA_J2_8194_01A	0.00E+00
TCGA_J2_A4AD_01A	0.00E+00
TCGA_J2_A4AG_01A	0.00E+00
TCGA_L4_A4E5_01A	0.00E+00
TCGA_L9_A443_01A	0.00E+00
TCGA_L9_A444_01A	0.00E+00
TCGA_MP_A4T4_01A	0.00E+00
TCGA_MP_A4T9_01A	0.00E+00
TCGA_MP_A4TF_01A	0.00E+00
TCGA_MP_A4TH_01A	0.00E+00
TCGA_NJ_A4YQ_01A	0.00E+00
TCGA_NJ_A55O_01A	0.00E+00
TCGA_O1_A52J_01A	0.00E+00
