Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
TCGA_44_A479_01A	7	0	0	0	2	0	0
TCGA_49_AARE_01A	7	0	6	0	0	1	0
TCGA_49_AARN_01A	0	0	4	0	0	1	3
TCGA_49_AARO_01A	4	7	1	2	1	0	0
TCGA_49_AARQ_01A	10	0	1	0	0	2	0
TCGA_4B_A93V_01A	0	1	0	0	2	0	0
TCGA_55_7913_01B	2	0	0	3	0	0	0
TCGA_55_8508_01A	0	5	2	0	0	0	0
TCGA_55_8514_01A	0	0	0	0	0	5	0
TCGA_69_A59K_01A	1	2	0	5	1	0	0
TCGA_86_7714_01A	1	0	0	0	0	0	0
TCGA_99_8025_01A	4	0	0	0	3	0	0
TCGA_99_8028_01A	5	0	1	0	1	0	0
TCGA_99_AA5R_01A	0	0	0	1	0	0	1
TCGA_L9_A5IP_01A	0	1	3	0	0	0	0
TCGA_L9_A8F4_01A	1	0	0	4	3	0	5
TCGA_NJ_A4YF_01A	0	2	0	0	2	3	2
TCGA_S2_AA1A_01A	1	0	0	2	2	0	0
